Wijk,Gem HR 1,rrData 1,Gem HR 2,rrData 2,Bloeddruk (Bovendruk) 1,Bloeddruk (Bovendruk) 2,Cholesterol 1,Cholesterol 2,Non-HDL 1,Non-HDL 2,Bloedsuiker 1,Bloedsuiker 2,BMI 1,BMI 2
,77.5,784,75.3,800,,,,,,,,,,
,77.700005,768,74.8,816,,,,,,,,,,
,78.3,752,75.6,776,,,,,,,,,,
,78.5,760,75.200005,808,,,,,,,,,,
,78.4,768,76.6,752,,,,,,,,,,
,77.8,784,78.6,720,,,,,,,,,,
,78.4,752,77.3,808,,,,,,,,,,
,79.6,728,76.6,800,,,,,,,,,,
,80.4,728,76.1,800,,,,,,,,,,
,79.9,760,75.8,800,,,,,,,,,,
,78.4,800,74.9,824,,,,,,,,,,
,77.200005,808,76.4,752,,,,,,,,,,
,76.8,792,77.9,736,,,,,,,,,,
,77.200005,768,75.9,840,,,,,,,,,,
,77.200005,776,76.8,760,,,,,,,,,,
,77.700005,760,77.4,760,,,,,,,,,,
,76.9,800,77.4,776,,,,,,,,,,
,76.9,1480,77.4,776,,,,,,,,,,
,77.700005,704,77.4,1560,,,,,,,,,,
,80,704,75.8,832,,,,,,,,,,
,81.3,712,75.3,808,,,,,,,,,,
,80.1,776,76.4,760,,,,,,,,,,
,80.3,856,76.4,1640,,,,,,,,,,
,79.5,848,76,800,,,,,,,,,,
,78.1,872,76,1568,,,,,,,,,,
,75.700005,856,76.4,776,,,,,,,,,,
,73.1,896,77.200005,760,,,,,,,,,,
,71.3,896,77.700005,760,,,,,,,,,,
,70.200005,888,77.6,776,,,,,,,,,,
,71,824,76.200005,824,,,,,,,,,,
,72.4,792,75,832,,,,,,,,,,
,73.4,792,75.200005,792,,,,,,,,,,
,74.6,776,75.1,800,,,,,,,,,,
,74.700005,800,74.9,808,,,,,,,,,,
,74.6,808,74.1,832,,,,,,,,,,
,75.700005,768,73.9,816,,,,,,,,,,
,76.9,752,74.700005,784,,,,,,,,,,
,77,776,74.700005,696,,,,,,,,,,
,76.8,784,75.6,712,,,,,,,,,,
,76,808,75.4,880,,,,,,,,,,
,75.200005,816,75.200005,1640,,,,,,,,,,
,75.200005,1512,75.200005,2464,,,,,,,,,,
,75.9,728,74.1,840,,,,,,,,,,
,78.1,720,74.4,800,,,,,,,,,,
,79.700005,720,74.8,792,,,,,,,,,,
,79.200005,768,74.8,1608,,,,,,,,,,
,79.4,1552,75.1,792,,,,,,,,,,
,79.8,744,76,768,,,,,,,,,,
,78.6,792,75.200005,816,,,,,,,,,,
,77.3,808,,,,,,,,,,,,
,75.3,848,,,,,,,,,,,,
,73.9,848,,,,,,,,,,,,
,73.6,824,,,,,,,,,,,,
,73.8,808,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
